gene,S15.8147.A1-logfc,S15.10848.A-logfc
AADACL3,0.089496836,0.316791684
AADACL4,0.020188685,0.560790628
ABCA4,0.293483576,0.490411297
ABCB10,3.573864751,3.430171009
ABCD3,3.656188987,3.835917416
ABL2,3.415471135,4.128331794
ACADM,3.759092282,3.678578754
ACAP3,3.524294398,3.332132247
ACBD3,3.89990431,4.076063678
ACBD6,4.263744319,3.964689967
ACOT11,1.775698571,1.547035677
ACOT7,3.863548678,4.196855256
ACP6,1.790247617,1.070379319
ACTA1,0.112941533,0.322177217
ACTL8,0.186237359,0
ACTN2,0.419854818,0.432318098
ACTRT2,0,0
ADAM30,0.174691321,0.170331379
ADAMTS4,3.403063805,3.141595251
ADAMTSL4,3.080362572,3.390111305
ADAR,6.298203548,6.117860858
ADC,2.018170198,2.17003086
ADCK3,3.599161067,2.831886949
ADCY10,0.224438431,0.7226885
ADIPOR1,4.833823934,5.480582148
ADORA1,0.150349033,0.715093952
ADORA3,0.659853133,0.958745909
ADPRHL2,3.725735646,4.155652441
ADSS,4.583485242,4.543298426
AGBL4,0.412977961,0.061149178
AGL,3.484032727,3.086944223
AGMAT,2.976956419,3.068804983
AGRN,2.968504161,2.939236559
AGT,0,0
AGTRAP,3.911491503,4.567449588
AHCTF1,3.834121807,3.268263515
AHCYL1,4.45864937,4.876225124
AHDC1,2.156867059,2.210548454
AIDA,4.645033623,4.742704168
AIM1L,0.820522606,1.314728973
AIM2,3.696787205,3.65870276
AJAP1,0.662282276,0.19634978
AK2,4.553761151,4.343014141
AK4,2.669687712,2.854486584
AK5,0.85898873,1.159369624
AKIRIN1,5.115223286,4.480323549
AKNAD1,0.256435269,0.080573797
AKR1A1,6.018122646,6.149513651
AKR7A2,3.455959594,3.51807471
AKR7A3,1.365497811,1.55295078
AKT3,4.325879139,4.236018543
ALDH4A1,1.988510538,2.177811853
ALDH9A1,4.831723976,5.215244125
ALG14,2.623431324,2.470243244
ALG6,3.341740301,2.43212451
ALPL,0.822815054,1.327729817
ALX3,1.862225595,1.18853535
AMIGO1,2.177363086,0.146156913
AMPD1,0.314513663,0.439875418
AMPD2,3.657087684,3.001975184
AMY1A,2.12403849,2.388149543
AMY1B,2.231192418,2.499071201
AMY1C,2.217779445,2.486403406
AMY2A,2.807791039,2.660810417
AMY2B,4.223209435,4.205099856
ANGEL2,3.926990904,3.78349674
ANGPTL1,1.453565109,2.354311621
ANGPTL3,1.005136788,0.715838124
ANGPTL7,2.427832154,1.006558274
ANKRD13C,3.218925357,3.104687548
ANKRD34A,0.95075668,1.023718823
ANKRD35,0.69895621,1.469274384
ANKRD45,0.159427736,0.189172606
ANKRD65,1.106028782,1.092325481
ANP32E,5.27470248,4.477403217
ANXA9,1.026686198,1.718612892
AP4B1,3.997632774,3.332859486
APCS,0.096022095,0
APH1A,5.333533721,5.64022209
APITD1,1.725500998,2.660094838
APOA1BP,3.955818814,3.972043616
APOA2,0.451918763,0.695043554
APOBEC4,1.895401185,1.362291946
AQP10,0.099584664,0.503291908
ARF1,6.517325685,6.870627969
ARHGAP29,2.065791263,2.907597408
ARHGAP30,5.860161057,5.171151604
ARHGEF10L,3.862838787,4.324344991
ARHGEF11,3.658091629,4.028457171
ARHGEF16,0.338213421,0.881933482
ARHGEF19,1.622702743,1.583249982
ARHGEF2,5.249099822,4.638669349
ARID1A,4.755940162,4.246063194
ARID4B,4.71794022,4.189986042
ARL8A,3.481962719,4.18836584
ARNT,4.222215791,4.233050615
ARPC5,7.099663503,6.905324942
ARTN,0.269635454,0.680823995
ARV1,3.529901181,2.785641718
ASAP3,2.421175183,3.134684781
ASCL5,0.957377163,0
ASH1L,4.946535837,4.19254983
ASPM,4.632304809,4.00087434
ASTN1,0.044886633,0.036285512
ATAD3A,4.81271578,3.772750134
ATAD3B,5.071493908,4.023123411
ATAD3C,2.977230062,1.479585952
ATF3,2.962950814,4.218354004
ATF6,3.896859428,4.0280871
ATG4C,2.814960506,2.480585161
ATP13A2,3.305830549,3.083164903
ATP1A1,6.183745205,6.404784132
ATP1A2,0.174906474,1.255920713
ATP1A4,0.257428777,0.388550601
ATP1B1,3.861174294,4.211870339
ATP2B4,6.001417044,5.342956402
ATP5F1,5.729015177,5.612665947
ATP6V0B,5.877214387,6.010518161
ATP6V1G3,0.385422415,0
ATP8B2,4.510053971,3.619660877
ATPAF1,3.766457492,3.295031308
ATPAF1-AS1,1.135005636,0.72546921
ATPIF1,4.445673957,4.108736858
ATXN7L2,1.452158875,1.093836865
AUNIP,1.803880356,1.422973273
AURKAIP1,3.877304797,4.262442346
AVPR1B,0,0.508548447
AXDND1,0.14092028,0.407634741
B3GALNT2,3.615404654,3.533865486
B3GALT2,2.497464664,1.716887181
B3GALT6,3.256673834,3.096404866
B4GALT2,2.085538856,3.264824703
B4GALT3,3.357745894,2.551282523
BAI2,0.290704875,0.305900333
BARHL2,0.11858848,0
BATF3,3.651048508,2.789879303
BCAN,0.241341425,0.506698871
BCAR3,2.287469328,2.088934296
BCAS2,4.184084919,4.29126139
BCL10,3.200599053,3.4627128
BCL2L15,0.610746839,0.380114916
BCL9,1.56922006,1.813856014
BEND5,1.813680136,0.759725286
BEST4,0.805294925,0.991274976
BGLAP,1.983356191,1.017773151
BLZF1,2.502780258,3.127434674
BMP8A,2.17623764,2.299222774
BMP8B,1.356118207,1.182562457
BNIPL,1.468371968,2.819569175
BOLA1,2.766685925,3.034143
BPNT1,3.373813945,3.282657759
BRDT,0.305391538,0.32021397
BROX,4.187346468,4.382309308
BSDC1,4.234985383,4.011253081
BSND,0,0
BTBD19,2.34588468,2.425380384
BTBD8,1.707028833,1.926190439
BTF3L4,3.672786859,3.053144571
BTG2,5.562044152,4.652449178
C1orf100,0.46117555,0
C1orf101,0.88786915,1.011196332
C1orf105,0.630362803,0.34217206
C1orf106,1.395710761,2.585416569
C1orf109,3.009932041,2.721498812
C1orf110,0.411572702,0.144061803
C1orf111,0.29265567,0.39937907
C1orf112,3.299777775,3.083382004
C1orf114,0.679076545,0.136438198
C1orf115,0.995072181,1.963734367
C1orf116,0.874183781,2.327340985
C1orf122,2.663750202,3.208055707
C1orf123,4.144413135,3.863474608
C1orf127,0.205797576,0.345306384
C1orf129,0.471391491,0.309428326
C1orf131,3.388155436,3.094105266
C1orf141,0.214459842,0
C1orf146,0.784301339,0.085861072
C1orf151-NBL1,4.27147171,5.288788301
C1orf158,0.173794003,0.435223638
C1orf159,1.9002522,1.651801986
C1orf162,3.932144676,4.361469708
C1orf168,0.197716138,0.282253674
C1orf172,0.571313627,1.140992741
C1orf173,0.184564384,0.0756494
C1orf174,4.191050035,3.714344897
C1orf177,0.228111461,0.005940632
C1orf185,0.189285973,0.186299025
C1orf186,1.411406566,0.814709022
C1orf189,0.483739073,0.356349025
C1orf192,2.598911254,2.19988319
C1orf194,1.187486985,2.115250735
C1orf198,3.167141223,3.564039174
C1orf204,4.301042618,4.328576321
C1orf21,1.965971885,2.646004288
C1orf210,0.326691828,0.455349604
C1orf212,3.400095697,3.141205581
C1orf216,4.06766322,3.234483764
C1orf226,0.705469281,0.481991253
C1orf227,0.652420756,0.607590997
C1orf228,1.969852376,0.657840931
C1orf229,0,0.115056708
C1orf233,0.997270053,1.38689337
C1orf27,3.402988282,3.237281723
C1orf31,4.044058343,3.637270486
C1orf35,2.715238876,2.625571602
C1orf43,5.710200046,5.626854664
C1orf50,3.378055055,2.338468327
C1orf51,0.745777023,1.994777817
C1orf53,0,0
C1orf54,5.239579692,5.734377391
C1orf56,4.118700452,3.716254387
C1orf61,0.265858044,0.559375002
C1orf63,5.776730494,5.141865542
C1orf64,0,0
C1orf65,0,0
